rank,prev_rank,name,league,off,def,spi,weighted_scores
1,1,Bayern Munich,German Bundesliga,3.51,0.43,93.96,47.964999999999996
2,2,Manchester City,Barclays Premier League,2.86,0.24,92.84,47.195
3,3,Barcelona,Spanish Primera Division,3.01,0.5,90.16,45.957499999999996
4,5,Liverpool,Barclays Premier League,2.79,0.46,88.95,45.2875
5,4,Paris Saint-Germain,French Ligue 1,2.89,0.52,88.85,45.277499999999996
6,7,Borussia Dortmund,German Bundesliga,2.52,0.4,87.68,44.57
7,8,Atletico Madrid,Spanish Primera Division,2.38,0.37,87.04,44.2075
8,6,Real Madrid,Spanish Primera Division,2.62,0.49,87.01,44.282500000000006
9,9,Chelsea,Barclays Premier League,2.48,0.47,86.07,43.772499999999994
10,11,RB Leipzig,German Bundesliga,2.43,0.49,85.06,43.26
11,10,Internazionale,Italy Serie A,2.58,0.59,84.87,43.2275
12,12,Manchester United,Barclays Premier League,2.36,0.52,83.8,42.62
13,13,Real Sociedad,Spanish Primera Division,2.18,0.44,83.36,42.335
14,14,Tottenham Hotspur,Barclays Premier League,2.36,0.59,82.27,41.872499999999995
15,16,Napoli,Italy Serie A,2.18,0.51,81.68,41.5125
16,15,Juventus,Italy Serie A,2.4,0.65,81.61,41.5675
17,20,Leicester City,Barclays Premier League,2.21,0.57,80.85,41.12
18,19,Sevilla FC,Spanish Primera Division,2.04,0.47,80.81,41.0325
19,18,FC Salzburg,Austrian T-Mobile Bundesliga,2.89,1.0,80.63,41.287499999999994
20,21,AC Milan,Italy Serie A,2.37,0.71,79.92,40.730000000000004
21,23,Ajax,Dutch Eredivisie,2.71,0.93,79.87,40.845
22,17,Arsenal,Barclays Premier League,2.1,0.56,79.46,40.394999999999996
23,22,Borussia Monchengladbach,German Bundesliga,2.4,0.76,79.22,40.4
24,26,Villarreal,Spanish Primera Division,2.22,0.65,79.18,40.307500000000005
25,25,Atalanta,Italy Serie A,2.43,0.8,78.74,40.177499999999995
26,24,Bayer Leverkusen,German Bundesliga,2.19,0.67,78.31,39.870000000000005
27,27,AS Roma,Italy Serie A,2.31,0.77,77.94,39.74
28,29,Wolverhampton,Barclays Premier League,1.81,0.51,76.19,38.675
29,31,Zenit St Petersburg,Russian Premier Liga,2.09,0.7,76.07,38.732499999999995
30,28,Lyon,French Ligue 1,2.09,0.71,75.79,38.595000000000006
31,32,Lille,French Ligue 1,1.95,0.65,75.02,38.16
32,33,FC Porto,Portuguese Liga,2.17,0.82,74.61,38.0525
33,34,Everton,Barclays Premier League,2.05,0.74,74.52,37.957499999999996
34,30,Getafe,Spanish Primera Division,1.75,0.55,74.19,37.67
35,35,Olympiacos,Greek Super League,2.0,0.72,74.19,37.775
36,39,TSG Hoffenheim,German Bundesliga,2.33,0.95,74.12,37.88
37,37,Southampton,Barclays Premier League,1.99,0.72,74.1,37.7275
38,38,West Ham United,Barclays Premier League,2.03,0.75,73.91,37.65
39,36,Benfica,Portuguese Liga,2.24,0.92,73.52,37.55
40,45,Aston Villa,Barclays Premier League,2.11,0.84,73.17,37.3225
41,40,Eintracht Frankfurt,German Bundesliga,2.16,0.88,73.08,37.3
