rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.49,0.38,94.37
2,2,Manchester City,Barclays Premier League,2.95,0.34,92
3,4,Paris Saint-Germain,French Ligue 1,2.96,0.48,90.08
4,3,Barcelona,Spanish Primera Division,2.83,0.44,89.66
5,6,Liverpool,Barclays Premier League,2.83,0.5,88.69
6,5,Real Madrid,Spanish Primera Division,2.5,0.4,87.52
7,7,Atletico Madrid,Spanish Primera Division,2.28,0.37,85.94
8,8,RB Leipzig,German Bundesliga,2.48,0.49,85.72
9,9,Borussia Dortmund,German Bundesliga,2.42,0.49,85.05
10,11,Internazionale,Italy Serie A,2.67,0.68,84.08
11,10,Chelsea,Barclays Premier League,2.44,0.57,83.55
12,14,Manchester United,Barclays Premier League,2.44,0.61,82.69
13,13,Sevilla FC,Spanish Primera Division,2.03,0.41,82.1
14,12,Juventus,Italy Serie A,2.39,0.62,82
15,16,Napoli,Italy Serie A,2.21,0.53,81.51
16,15,Tottenham Hotspur,Barclays Premier League,2.35,0.64,81.03
17,18,AC Milan,Italy Serie A,2.29,0.62,80.73
18,21,Real Sociedad,Spanish Primera Division,2.01,0.46,80.53
19,17,FC Salzburg,Austrian T-Mobile Bundesliga,2.91,1.03,80.41
20,20,Atalanta,Italy Serie A,2.48,0.77,79.96
21,19,Leicester City,Barclays Premier League,2.16,0.63,78.77
22,22,Arsenal,Barclays Premier League,2.11,0.6,78.65
23,24,Bayer Leverkusen,German Bundesliga,2.13,0.62,78.65
24,23,Zenit St Petersburg,Russian Premier Liga,2.17,0.68,77.71
25,25,Borussia Monchengladbach,German Bundesliga,2.2,0.73,77.16
26,31,Benfica,Portuguese Liga,2.33,0.82,76.97
27,26,Everton,Barclays Premier League,2.13,0.7,76.77
28,27,Lyon,French Ligue 1,2.04,0.66,76.33
29,28,Villarreal,Spanish Primera Division,2.15,0.75,76.03
30,34,Shakhtar Donetsk,UEFA Champions League,2.45,0.96,75.89
31,29,FC Porto,Portuguese Liga,2.17,0.77,75.87
32,30,Wolverhampton,Barclays Premier League,1.83,0.55,75.6
33,36,Getafe,Spanish Primera Division,1.73,0.48,75.55
34,32,AS Roma,Italy Serie A,2.2,0.81,75.33
35,33,Olympiacos,Greek Super League,2.02,0.7,75
36,35,Ajax,Dutch Eredivisie,2.38,0.97,74.67
37,38,West Ham United,Barclays Premier League,2.12,0.81,74.1
38,45,Lille,French Ligue 1,1.87,0.64,73.97
39,41,Aston Villa,Barclays Premier League,2.03,0.75,73.95
40,40,Eintracht Frankfurt,German Bundesliga,2.11,0.83,73.37
41,37,TSG Hoffenheim,German Bundesliga,2.22,0.93,73.11
42,43,Southampton,Barclays Premier League,1.98,0.76,72.99
43,46,Granada,Spanish Primera Division,1.89,0.7,72.93
44,44,VfL Wolfsburg,German Bundesliga,1.89,0.73,72.16
45,39,Real Betis,Spanish Primera Division,1.9,0.76,71.63
46,47,Brighton and Hove Albion,Barclays Premier League,1.94,0.79,71.53
47,48,Club Brugge,Belgian Jupiler League,2.04,0.88,71.33
48,42,Lazio,Italy Serie A,2.04,0.88,71.17
49,49,Celta Vigo,Spanish Primera Division,1.77,0.69,71
50,50,Flamengo,Brasileiro Série A,1.98,0.86,70.52
51,54,Athletic Bilbao,Spanish Primera Division,1.7,0.68,69.81
52,55,Osasuna,Spanish Primera Division,1.74,0.71,69.79
53,51,Fiorentina,Italy Serie A,1.9,0.88,68.89
54,62,AS Monaco,French Ligue 1,1.94,0.92,68.35
55,58,Burnley,Barclays Premier League,1.76,0.79,68.18
56,53,Hertha Berlin,German Bundesliga,1.98,0.97,68.05
57,56,Stade Rennes,French Ligue 1,1.74,0.79,67.9
58,61,CSKA Moscow,Russian Premier Liga,1.75,0.81,67.58
59,57,Young Boys,Swiss Raiffeisen Super League,1.95,0.97,67.53
60,52,Celtic,Scottish Premiership,2.07,1.08,67.16
61,73,Cadiz,Spanish Primera Division,1.7,0.79,67.14
62,59,Crystal Palace,Barclays Premier League,1.7,0.81,66.66
63,60,Sheffield United,Barclays Premier League,1.65,0.77,66.54
64,67,Sassuolo,Italy Serie A,2.05,1.1,66.48
65,66,Leeds United,Barclays Premier League,1.84,0.93,66.41
66,64,Dynamo Kiev,UEFA Champions League,1.93,1,66.26
67,65,Eibar,Spanish Primera Division,1.61,0.77,65.85
68,63,Levante,Spanish Primera Division,1.84,0.96,65.8
69,68,River Plate,Argentina Primera Division,1.74,0.88,65.48
70,70,SD Huesca,Spanish Primera Division,1.66,0.82,65.48
71,80,Kawasaki Frontale,Japanese J League,2.04,1.14,65.1
72,72,Valencia,Spanish Primera Division,1.77,0.93,65.09
73,69,Dinamo Zagreb,UEFA Europa League,2,1.13,64.82
74,75,Marseille,French Ligue 1,1.7,0.89,64.72
75,78,1. FC Union Berlin,German Bundesliga,1.7,0.89,64.58
76,81,VfB Stuttgart,German Bundesliga,1.79,0.97,64.48
77,71,Newcastle,Barclays Premier League,1.72,0.92,64.29
78,77,Werder Bremen,German Bundesliga,1.8,0.98,64.27
79,99,Rangers,Scottish Premiership,1.77,0.98,63.8
80,87,FC Krasnodar,Russian Premier Liga,1.73,0.96,63.58
81,76,Real Valladolid,Spanish Primera Division,1.57,0.83,63.54
82,79,AFC Bournemouth,English League Championship,1.75,0.98,63.49
83,82,SC Freiburg,German Bundesliga,1.85,1.07,63.26
84,84,Slavia Prague,UEFA Europa League,1.93,1.13,63.26
85,74,FC Augsburg,German Bundesliga,1.71,0.96,63.05
